Licensee,Fiscal_Year,date,Wag,Patron_win,Cancelled_wag,Monthly_resettlements ,Online_Sports,Fed_tax,Unadj_month_game_rev,Coup_credit_wag,Promo_Deduct,Total_gross_game_rev,Payment ,
CT Lottery Corp,2021/22,2022-01-31,13650304,13009536,11400,13261,616107,34097,582010,289595,145503,436508,60020,
"MPI Master Wagering License CT, LLC",2021/22,2021-12-31,68869666,64101091,358976,-4407,4414006,165577,4248429,2027294,1062107,3186322,438119,8
"Mohegan Digital, LLC",2021/22,2021-12-31,63315497,59439866,224237,10397,3640998,153793,3487205,1574087,871801,2615404,359618,
CT Lottery Corp,2021/22,2021-12-31,11385256,10542317,63768,2784,776387,28339,748048,260805,187012,561036,77142,
"MPI Master Wagering License CT, LLC",2021/22,2021-11-30,60031024,52870165,164994,28431,6967434,143877,6823557,2045623,1705889,5117667,703679,8
"Mohegan Digital, LLC",2021/22,2021-11-30,58999340,50751107,127550,30748,8089935,140366,7949569,2725338,1987392,5962177,819799,
CT Lottery Corp,2021/22,2021-11-30,8518887,7660972,99459,-3267,761722,21279,740443,405253,185111,555332,76358,
"MPI Master Wagering License CT, LLC",2021/22,2021-10-31,23770250,20117086,43488,-4121,3613797,53427,3560370,2119449,890092,2670277,367163,"8,9"
"Mohegan Digital, LLC",2021/22,2021-10-31,27082842,26047082,102765,58834,874160,61453,812707,2398934,203177,609530,83810,
CT Lottery Corp,2021/22,2021-10-31,3246536,2901339,41418,10047,293732,8013,285720,404431,71430,214290,29465,
